x=2076.830 y=88.470 z=1177.830
x=1807.669 y=103.998 z=-1372.474 above
x=1880.964 y=132.120 z=67.508
x=1788.670 y=139.408 z=-149.902
x=1780.784 y=144.534 z=-235.839
x=1486.911 y=134.438 z=-476.802
x=938.489 y=134.198 z=-58.782
x=842.693 y=135.275 z=-95.242
x=1251.796 y=120.277 z=238.479
x=1324.109 y=100.519 z=283.866
x=1319.962 y=91.182 z=367.551
x=1385.850 y=58.768 z=453.787
x=1264.559 y=117.546 z=243.182
x=971.142 y=134.150 z=489.947
x=1489.364 y=10.742 z=1035.508
x=1756.404 y=60.642 z=1093.275
x=1952.563 y=41.762 z=1034.751
x=2558.801 y=3.248 z=373.012
x=2445.152 y=17.544 z=264.790
x=1747.656 y=122.597 z=99.947
x=1790.250 y=155.770 z=-76.250
x=1700.992 y=141.053 z=-3.050
x=1924.434 y=122.024 z=-215.196
x=978.882 y=141.400 z=380.803
x=1096.150 y=139.831 z=303.323 above
x=619.903 y=135.043 z=-1172.628
x=850.885 y=131.249 z=-1568.687
x=1078.087 y=117.625 z=-1920.177
x=1350.660 y=97.717 z=-2272.125
x=1221.962 y=134.121 z=-471.234
x=-404.982 y=120.849 z=-524.827
x=-919.637 y=96.958 z=-236.872
x=-555.102 y=129.096 z=444.819
x=401.077 y=120.989 z=739.531
x=464.542 y=137.481 z=258.916
x=1029.553 y=131.493 z=-142.204
x=993.524 y=133.130 z=-250.143
x=1168.577 y=123.743 z=-1344.193
x=288.925 y=97.502 z=-2332.108
x=961.667 y=147.168 z=-1289.140
x=1183.367 y=123.863 z=-1349.771
x=-1440.950 y=65.680 z=2597.920
x=-951.901 y=84.972 z=1761.981
x=-588.003 y=121.012 z=1045.436
x=-1684.420 y=14.900 z=-838.920
x=-831.434 y=82.315 z=-1830.366
x=-214.620 y=110.610 z=-2003.860
x=83.470 y=129.570 z=-1281.950
x=-1816.840 y=69.150 z=-4.540
x=-408.750 y=94.970 z=-2175.910
x=-1587.940 y=22.750 z=-877.760
x=-1825.590 y=103.080 z=936.520
x=-595.060 y=113.660 z=1046.060
x=-555.040 y=95.010 z=1405.980
x=-471.774 y=129.541 z=828.327
x=-429.060 y=127.260 z=834.840
x=-349.880 y=128.050 z=572.900
x=-270.890 y=115.330 z=622.100
x=-193.847 y=133.641 z=614.627
x=-176.060 y=123.810 z=725.040
x=-2.243 y=191.095 z=615.470
x=347.570 y=125.250 z=600.620
x=82.530 y=153.240 z=718.510
x=-759.430 y=138.190 z=-903.170
x=-775.750 y=136.410 z=-987.370
x=-748.630 y=62.190 z=-1887.240
x=-788.915 y=35.000 z=-2138.939
x=-65.664 y=140.830 z=1.896
x=448.303 y=134.760 z=421.983
x=-642.050 y=119.580 z=-342.140
x=-217.750 y=148.350 z=-1004.460
x=166.200 y=160.470 z=-546.890
x=238.254 y=156.091 z=-543.181
x=143.720 y=151.710 z=-379.720
x=181.694 y=135.428 z=211.108
x=-146.560 y=130.220 z=-134.730
x=-626.210 y=54.740 z=1489.260
x=256.664 y=126.189 z=750.749
x=-739.880 y=29.120 z=1653.160
x=-830.576 y=78.020 z=-1841.542
x=617.354 y=125.450 z=763.673
x=-986.830 y=12.960 z=-2053.750
x=-555.140 y=116.050 z=-1616.070
x=-1233.190 y=109.170 z=1963.970
x=621.550 y=112.390 z=837.380
x=2552.090 y=3.570 z=378.200
x=878.420 y=10.530 z=1766.580
x=225.300 y=66.080 z=1950.250
x=2462.480 y=10.670 z=373.590
x=309.870 y=74.990 z=1908.220
x=209.020 y=19.060 z=2076.290
x=2588.584 y=40.555 z=825.079
x=287.193 y=43.286 z=2060.458
